电影排名,电影名称,电影评分,评论人数,短评
1,肖申克的救赎,9.7,1803910,希望让人自由。
2,霸王别姬,9.6,1327977,风华绝代。
3,阿甘正传,9.5,1384128,一部美国近现代史。
4,这个杀手不太冷,9.4,1578837,怪蜀黍和小萝莉不得不说的故事。
5,美丽人生,9.5,884667,最美的谎言。
6,泰坦尼克号,9.4,1322678,失去的才是永恒的。 
7,千与千寻,9.3,1416198,最好的宫崎骏，最好的久石让。 
8,辛德勒的名单,9.5,710881,拯救一个人，就是拯救整个世界。
9,盗梦空间,9.3,1343435,诺兰给了我们一场无法盗取的梦。
10,忠犬八公的故事,9.3,914595,永远都不能忘记你所爱的人。
11,海上钢琴师,9.3,1109923,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
12,机器人总动员,9.3,888051,小瓦力，大人生。
13,三傻大闹宝莱坞,9.2,1226537,英俊版憨豆，高情商版谢耳朵。
14,楚门的世界,9.3,970195,如果再也不能见到你，祝你早安，午安，晚安。
15,放牛班的春天,9.3,855467,天籁一般的童声，是最接近上帝的存在。 
16,星际穿越,9.3,983742,爱是一种力量，让我们超越时空感知它的存在。
17,大话西游之大圣娶亲,9.2,960466,一生所爱。
18,熔炉,9.3,583246,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
19,龙猫,9.2,828451,人人心中都有个龙猫，童年就永远不会消失。
20,无间道,9.2,787394,香港电影史上永不过时的杰作。
21,疯狂动物城,9.2,1131561,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
22,教父,9.3,608018,千万不要记恨你的对手，这样会让你失去理智。
23,当幸福来敲门,9.1,987786,平民励志片。 
24,怦然心动,9.0,1126354,真正的幸福是来自内心深处。
25,触不可及,9.2,646617,满满温情的高雅喜剧。
26,蝙蝠侠：黑暗骑士,9.2,662320,无尽的黑暗。
27,活着,9.2,511088,张艺谋最好的电影。
28,控方证人,9.6,242816,比利·怀德满分作品。
29,乱世佳人,9.3,440905,Tomorrow is another day.
30,少年派的奇幻漂流,9.1,949244,瑰丽壮观、无人能及的冒险之旅。
31,摔跤吧！爸爸,9.0,992324,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
32,指环王3：王者无敌,9.2,485722,史诗的终章。
33,飞屋环游记,9.0,873584,最后那些最无聊的事情，才是最值得怀念的。 
34,末代皇帝,9.2,438678,“不要跟我比惨，我比你更惨”再适合这部电影不过了。
35,寻梦环游记,9.1,945745,死亡不是真的逝去，遗忘才是永恒的消亡。
36,十二怒汉,9.4,293033,1957年的理想主义。 
37,鬼子来了,9.2,407537,对敌人的仁慈，就是对自己残忍。
38,天空之城,9.1,557575,对天空的追逐，永不停止。 
39,大话西游之月光宝盒,9.0,776064,旷古烁今。
40,天堂电影院,9.2,450062,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
41,哈尔的移动城堡,9.0,633907,带着心爱的人在天空飞翔。
42,何以为家,9.1,523998,凝视卑弱生命，用电影改变命运。
43,罗马假日,9.0,642589,爱情哪怕只有一天。
44,素媛,9.2,384170,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
45,闻香识女人,9.0,555827,史上最美的探戈。
46,搏击俱乐部,9.0,592630,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。
47,辩护人,9.2,388691,电影的现实意义大过电影本身。
48,窃听风暴,9.1,377645,别样人生。
49,死亡诗社,9.1,458517,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
50,教父2,9.2,333201,优雅的孤独。
51,指环王2：双塔奇兵,9.1,447684,承前启后的史诗篇章。
52,狮子王,9.0,507050,动物版《哈姆雷特》。
53,两杆大烟枪,9.1,401515,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。
54,飞越疯人院,9.1,404864,自由万岁。
55,哈利·波特与魔法石,9.0,560626,童话世界的开端。
56,指环王1：魔戒再现,9.0,503230,传说的开始。
57,饮食男女,9.1,361566,人生不能像做菜，把所有的料都准备好了才下锅。
58,大闹天宫,9.3,232388,经典之作，历久弥新。
59,美丽心灵,9.0,494148,爱是一切逻辑和原由。
60,V字仇杀队,8.9,704584,一张面具背后的理想与革命。
61,我不是药神,9.0,1354483,对我们国家而言，这样的电影多一部是一部。
62,黑客帝国,9.0,499386,视觉革命。
63,钢琴家,9.1,330009,音乐能化解仇恨。
64,本杰明·巴顿奇事,8.9,648064,在时间之河里感受溺水之苦。
65,海豚湾,9.3,267388,海豚的微笑，是世界上最高明的伪装。
66,猫鼠游戏,9.0,489622,骗子大师和执著警探的你追我跑故事。 
67,让子弹飞,8.8,1055382,你给我翻译翻译，神马叫做TMD的惊喜。
68,看不见的客人,8.8,739269,你以为你以为的就是你以为的。
69,情书,8.9,600132,暗恋的极致。
70,西西里的美丽传说,8.9,629652,美丽无罪。
71,小鞋子,9.2,252856,奔跑的孩子是天使。
72,拯救大兵瑞恩,9.0,416899,美利坚精神输出大片No1.
73,美国往事,9.2,277351,往事如烟，无处祭奠。
74,音乐之声,9.0,384629,用音乐化解仇恨，让歌声串起美好。
75,致命魔术,8.9,554443,孪生蝙蝠侠大战克隆金刚狼。
76,穿条纹睡衣的男孩,9.1,308873,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
77,七宗罪,8.8,651710,警察抓小偷，老鼠玩死猫。
78,低俗小说,8.8,553640,故事的高级讲法。
79,被嫌弃的松子的一生,8.9,495029,以戏谑来戏谑戏谑。
80,沉默的羔羊,8.8,550401,安东尼·霍普金斯的顶级表演。
81,蝴蝶效应,8.8,608523,人的命运被自己瞬间的抉择改变。
82,春光乍泄,8.9,410024,爱情纠缠，男女一致。
83,心灵捕手,8.9,452691,人生中应该拥有这样的一段豁然开朗。
84,禁闭岛,8.8,604597,昔日翩翩少年，今日大腹便便。
85,布达佩斯大饭店,8.8,568219,小清新的故事里注入了大历史的情怀。
86,勇敢的心,8.9,419003,史诗大片的典范。
87,剪刀手爱德华,8.7,742668,浪漫忧郁的成人童话。
88,天使爱美丽,8.7,716700,法式小清新。 
89,阿凡达,8.7,877674,绝对意义上的美轮美奂。
90,摩登时代,9.3,176472,大时代中的人生，小人物的悲喜。
91,加勒比海盗,8.7,579514,约翰尼·德普的独角戏。
92,致命ID,8.8,507085,最不可能的那个人永远是最可能的。
93,海蒂和爷爷,9.2,198623,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。
94,断背山,8.8,495397,每个人心中都有一座断背山。
95,喜剧之王,8.7,594343,我是一个演员。
96,幽灵公主,8.9,364562,人与自然的战争史诗。
97,入殓师,8.8,427764,死可能是一道门，逝去并不是终结，而是超越，走向下一程。
98,绿皮书,8.9,930709,去除成见，需要勇气。
