['肖申克的救赎', '1', '9.7', '1806198', '希望让人自由。']
['霸王别姬', '2', '9.6', '1330275', '风华绝代。']
['阿甘正传', '3', '9.5', '1385827', '一部美国近现代史。']
['这个杀手不太冷', '4', '9.4', '1580557', '怪蜀黍和小萝莉不得不说的故事。']
['美丽人生', '5', '9.5', '885416', '最美的谎言。']
['泰坦尼克号', '6', '9.4', '1324966', '失去的才是永恒的。 ']
['千与千寻', '7', '9.3', '1417852', '最好的宫崎骏，最好的久石让。 ']
['辛德勒的名单', '8', '9.5', '711684', '拯救一个人，就是拯救整个世界。']
['盗梦空间', '9', '9.3', '1344936', '诺兰给了我们一场无法盗取的梦。']
['忠犬八公的故事', '10', '9.3', '915830', '永远都不能忘记你所爱的人。']
['海上钢琴师', '11', '9.3', '1111447', '每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ']
['机器人总动员', '12', '9.3', '888705', '小瓦力，大人生。']
['三傻大闹宝莱坞', '13', '9.2', '1228047', '英俊版憨豆，高情商版谢耳朵。']
['楚门的世界', '14', '9.3', '971631', '如果再也不能见到你，祝你早安，午安，晚安。']
['放牛班的春天', '15', '9.3', '856797', '天籁一般的童声，是最接近上帝的存在。 ']
['星际穿越', '16', '9.3', '985493', '爱是一种力量，让我们超越时空感知它的存在。']
['大话西游之大圣娶亲', '17', '9.2', '962020', '一生所爱。']
['熔炉', '18', '9.3', '584094', '我们一路奋战不是为了改变世界，而是为了不让世界改变我们。']
['龙猫', '19', '9.2', '829324', '人人心中都有个龙猫，童年就永远不会消失。']
['无间道', '20', '9.2', '788434', '香港电影史上永不过时的杰作。']
['疯狂动物城', '21', '9.2', '1133120', '迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。']
['教父', '22', '9.3', '608679', '千万不要记恨你的对手，这样会让你失去理智。']
['当幸福来敲门', '23', '9.1', '989263', '平民励志片。 ']
['怦然心动', '24', '9.0', '1128235', '真正的幸福是来自内心深处。']
['触不可及', '25', '9.2', '647340', '满满温情的高雅喜剧。']
['蝙蝠侠：黑暗骑士', '26', '9.2', '663067', '无尽的黑暗。']
['活着', '27', '9.2', '511903', '张艺谋最好的电影。']
['控方证人', '28', '9.6', '243244', '比利·怀德满分作品。']
['乱世佳人', '29', '9.3', '441382', 'Tomorrow is another day.']
['少年派的奇幻漂流', '30', '9.1', '950105', '瑰丽壮观、无人能及的冒险之旅。']
['摔跤吧！爸爸', '31', '9.0', '993625', '你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。']
['指环王3：王者无敌', '32', '9.2', '486396', '史诗的终章。']
['飞屋环游记', '33', '9.0', '874295', '最后那些最无聊的事情，才是最值得怀念的。 ']
['末代皇帝', '34', '9.2', '439530', '“不要跟我比惨，我比你更惨”再适合这部电影不过了。']
['寻梦环游记', '35', '9.1', '946647', '死亡不是真的逝去，遗忘才是永恒的消亡。']
['十二怒汉', '36', '9.4', '293358', '1957年的理想主义。 ']
['鬼子来了', '37', '9.2', '407888', '对敌人的仁慈，就是对自己残忍。']
['天空之城', '38', '9.1', '558096', '对天空的追逐，永不停止。 ']
['大话西游之月光宝盒', '39', '9.0', '776913', '旷古烁今。']
['天堂电影院', '40', '9.2', '450319', '那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。']
['哈尔的移动城堡', '41', '9.0', '634515', '带着心爱的人在天空飞翔。']
['何以为家', '42', '9.1', '525784', '凝视卑弱生命，用电影改变命运。']
['罗马假日', '43', '9.0', '643065', '爱情哪怕只有一天。']
['素媛', '44', '9.2', '384746', '受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。']
['闻香识女人', '45', '9.0', '556370', '史上最美的探戈。']
['搏击俱乐部', '46', '9.0', '593160', '邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。']
['辩护人', '47', '9.2', '389362', '电影的现实意义大过电影本身。']
['窃听风暴', '48', '9.1', '377961', '别样人生。']
['死亡诗社', '49', '9.1', '459036', '当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。']
['教父2', '50', '9.2', '333564', '优雅的孤独。']
['指环王2：双塔奇兵', '51', '9.1', '448135', '承前启后的史诗篇章。']
['狮子王', '52', '9.0', '507902', '动物版《哈姆雷特》。']
['两杆大烟枪', '53', '9.1', '401831', '4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。']
['飞越疯人院', '54', '9.1', '405141', '自由万岁。']
['哈利·波特与魔法石', '55', '9.0', '561930', '童话世界的开端。']
['指环王1：魔戒再现', '56', '9.0', '503723', '传说的开始。']
['饮食男女', '57', '9.1', '362182', '人生不能像做菜，把所有的料都准备好了才下锅。']
['大闹天宫', '58', '9.3', '232806', '经典之作，历久弥新。']
['美丽心灵', '59', '9.0', '494604', '爱是一切逻辑和原由。']
['V字仇杀队', '60', '8.9', '705435', '一张面具背后的理想与革命。']
['我不是药神', '61', '9.0', '1356014', '对我们国家而言，这样的电影多一部是一部。']
['黑客帝国', '62', '9.0', '500038', '视觉革命。']
['钢琴家', '63', '9.1', '330331', '音乐能化解仇恨。']
['本杰明·巴顿奇事', '64', '8.9', '648760', '在时间之河里感受溺水之苦。']
['海豚湾', '65', '9.3', '267620', '海豚的微笑，是世界上最高明的伪装。']
['猫鼠游戏', '66', '9.0', '490523', '骗子大师和执著警探的你追我跑故事。 ']
['让子弹飞', '67', '8.8', '1056372', '你给我翻译翻译，神马叫做TMD的惊喜。']
['看不见的客人', '68', '8.8', '740318', '你以为你以为的就是你以为的。']
['情书', '69', '8.9', '600622', '暗恋的极致。']
['西西里的美丽传说', '70', '8.9', '630562', '美丽无罪。']
['小鞋子', '71', '9.2', '253199', '奔跑的孩子是天使。']
['拯救大兵瑞恩', '72', '9.0', '417324', '美利坚精神输出大片No1.']
['美国往事', '73', '9.2', '277689', '往事如烟，无处祭奠。']
['音乐之声', '74', '9.0', '385159', '用音乐化解仇恨，让歌声串起美好。']
['致命魔术', '75', '8.9', '554982', '孪生蝙蝠侠大战克隆金刚狼。']
['穿条纹睡衣的男孩', '76', '9.1', '309279', '尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。']
['七宗罪', '77', '8.8', '652202', '警察抓小偷，老鼠玩死猫。']
['低俗小说', '78', '8.8', '554140', '故事的高级讲法。']
['被嫌弃的松子的一生', '79', '8.9', '495480', '以戏谑来戏谑戏谑。']
['沉默的羔羊', '80', '8.8', '550930', '安东尼·霍普金斯的顶级表演。']
['蝴蝶效应', '81', '8.8', '609170', '人的命运被自己瞬间的抉择改变。']
['春光乍泄', '82', '8.9', '410375', '爱情纠缠，男女一致。']
['心灵捕手', '83', '8.9', '453074', '人生中应该拥有这样的一段豁然开朗。']
['禁闭岛', '84', '8.8', '605297', '昔日翩翩少年，今日大腹便便。']
['布达佩斯大饭店', '85', '8.8', '569097', '小清新的故事里注入了大历史的情怀。']
['勇敢的心', '86', '8.9', '419337', '史诗大片的典范。']
['剪刀手爱德华', '87', '8.7', '743301', '浪漫忧郁的成人童话。']
['天使爱美丽', '88', '8.7', '717296', '法式小清新。 ']
['阿凡达', '89', '8.7', '878500', '绝对意义上的美轮美奂。']
['摩登时代', '90', '9.3', '176663', '大时代中的人生，小人物的悲喜。']
['加勒比海盗', '91', '8.7', '580288', '约翰尼·德普的独角戏。']
['致命ID', '92', '8.8', '507701', '最不可能的那个人永远是最可能的。']
['海蒂和爷爷', '93', '9.2', '199177', '如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。']
['断背山', '94', '8.8', '495917', '每个人心中都有一座断背山。']
['喜剧之王', '95', '8.7', '595066', '我是一个演员。']
['幽灵公主', '96', '8.9', '364918', '人与自然的战争史诗。']
['入殓师', '97', '8.8', '428043', '死可能是一道门，逝去并不是终结，而是超越，走向下一程。']
['绿皮书', '98', '8.9', '933139', '去除成见，需要勇气。']
['阳光灿烂的日子', '99', '8.8', '417684', '一场华丽的意淫。']
['狩猎', '100', '9.1', '222498', '人言可畏。']
['重庆森林', '101', '8.7', '523445', '寂寞没有期限。']
['第六感', '102', '8.9', '359241', '深入内心的恐怖，出人意料的结局。']
['杀人回忆', '103', '8.8', '399857', '关于连环杀人悬案的集体回忆。']
['小森林 夏秋篇', '104', '9.0', '261675', '那些静得只能听见呼吸的日子里，你明白孤独即生活。']
['请以你的名字呼唤我', '105', '8.9', '385653', '沉醉在电影的情感和视听氛围中无法自拔。']
['消失的爱人', '106', '8.7', '587830', '年度最佳date movie。']
['玛丽和马克思', '107', '8.9', '312203', '你是我最好的朋友，你是我唯一的朋友 。']
['告白', '108', '8.7', '507096', '没有一人完全善，也没有一人完全恶。']
['红辣椒', '109', '9.0', '245802', '梦的勾结。']
['爱在黎明破晓前', '110', '8.8', '373473', '缘分是个连绵词，最美不过一瞬。']
['一一', '111', '9.0', '231153', '我们都曾经是一一。']
['哈利·波特与死亡圣器(下)', '112', '8.8', '469746', '10年的完美句点。']
['7号房的礼物', '113', '8.9', '322986', '《我是山姆》的《美丽人生》。']
['大鱼', '114', '8.8', '384988', '抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。']
['侧耳倾听', '115', '8.9', '291570', '少女情怀总是诗。']
['阳光姐妹淘', '116', '8.8', '419233', '再多各自牛逼的时光，也比不上一起傻逼的岁月。 ']
['射雕英雄传之东成西就', '117', '8.7', '426809', '百看不厌。 ']
['小森林 冬春篇', '118', '9.0', '229181', '尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。']
['超脱', '119', '8.9', '294754', '穷尽一生，我们要学会的，不过是彼此拥抱。']
['甜蜜蜜', '120', '8.8', '338360', '相逢只要一瞬间，等待却像是一辈子。']
['蝙蝠侠：黑暗骑士崛起', '121', '8.7', '469245', '诺兰就是保证。']
['倩女幽魂', '122', '8.7', '455537', '两张绝世的脸。 ']
['驯龙高手', '123', '8.7', '494642', '和谐的生活离不开摸头与被摸头。']
['唐伯虎点秋香', '124', '8.6', '637950', '华太师是黄霑，吴镇宇四大才子之一。']
['菊次郎的夏天', '125', '8.8', '326721', '从没见过那么流氓的温柔，从没见过那么温柔的流氓。']
['萤火之森', '126', '8.8', '307163', '触不到的恋人。']
['恐怖直播', '127', '8.8', '399313', '恐怖分子的“秋菊打官司”。']
['爱在日落黄昏时', '128', '8.8', '322328', '九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。']
['幸福终点站', '129', '8.8', '348259', '有时候幸福需要等一等。 ']
['超能陆战队', '130', '8.7', '637744', 'Balalala~~~']
